n_customers,n_nodes,n_edges,t_data_gen_s,t_build_graph_s,t_embeddings_s,avg_t_hybrid_ms,avg_t_full_ppr_ms,speedup,speedup_std,speedup_min,speedup_max,avg_overlap_top10,n_repeats
100,289.0,1782.0,0.028749541961587965,0.11969037499511614,0.00795495801139623,2.4286565094371326,1.1314009971101768,0.4633260425495842,0.01453917051860943,0.4543827893103304,0.49243339644483536,0.8125,5
300,733.0,4686.0,0.0850516670034267,0.34959925001021475,0.016986625036224723,3.648536374385003,2.3874845064710826,0.6543677413312117,0.04964181896370576,0.6470124583872443,0.7634579475995658,0.8125,5
600,1402.0,8711.0,0.166924667020794,0.7877490840037353,0.02970670798094943,4.308104114898015,4.073416741448455,0.9455242103741228,0.03778653629223114,0.9109890885314897,1.0010983846730213,0.85,5
1000,2284.0,15025.0,0.2773057910380885,1.4170139170018956,0.0465579170268029,5.49186475109309,6.867880256322678,1.258371486879063,0.21638204383876886,1.2045250895743729,1.7335504933773316,0.8625,5
1500,3376.0,22508.0,0.4170845829648897,2.246596999990288,0.06789616699097678,6.465281236160081,10.073343881231267,1.5790384393980907,0.256370531077331,1.0761868822784257,1.7601982073665186,0.8375,5
