n_customers,n_nodes,n_edges,t_data_gen_s,t_build_graph_s,t_embeddings_s,avg_t_hybrid_ms,avg_t_full_ppr_ms,speedup,speedup_std,speedup_min,speedup_max,avg_overlap_top10,n_repeats
100,289.0,1782.0,0.028846000001067296,0.12045704200863838,0.002982917008921504,2.4137291256920435,1.1401717456465121,0.47236938623741054,0.006935592930579627,0.46433676839090515,0.4820023066324966,0.725,5
300,733.0,4686.0,0.08455808300641365,0.3738604999962263,0.005945042008534074,3.6157293689029757,2.412343630567193,0.6671803623674153,1.6940076283717451,0.6452829891311099,4.45479975248556,0.625,5
600,1402.0,8711.0,0.16774404200259596,0.8299202089838218,0.010597915999824181,4.199781247734791,4.141536497627385,0.9901821055704542,0.03580345310752549,0.9180532680553266,1.0050752651695962,0.6875,5
1000,2284.0,15025.0,0.2766797500080429,1.4040583749883808,0.017165457975352183,5.543771119846497,6.764072877558647,1.2462429174982812,0.16839580811904448,0.880444356066902,1.2806903835272176,0.6875,5
1500,3376.0,22508.0,0.41484133398626,2.269637958990643,0.025516249996144325,6.34011974761961,10.389708251750562,1.685814452035781,0.0472201150096586,1.6122382482833604,1.7380419672823084,0.65,5
